RPM,MAP,TempoDeInjecao,Confianca
800,-0.95,9.5,0.149
800,-0.85,2.4,0.164
800,-0.75,3.6,0.162
800,-0.65,11.8,0.123
800,-0.55,2.8,0.226
800,-0.45,4.0,0.228
800,-0.35,2.9,0.232
800,-0.25,1.9,0.187
800,-0.15,3.2,0.202
800,-0.05,4.7,0.184
800,0.05,5.2,0.181
801,-0.95,3.9,0.167
801,-0.85,2.9,0.212
801,-0.75,1.7,0.146
801,-0.65,4.6,0.133
801,-0.55,3.8,0.187
801,-0.45,3.7,0.217
801,-0.35,4.0,0.198
801,-0.25,2.7,0.298
801,-0.15,4.4,0.227
801,-0.05,11.0,0.145
801,0.05,4.9,0.154
802,-0.95,9.1,0.231
802,-0.85,6.2,0.133
802,-0.75,2.0,0.153
802,-0.65,5.9,0.207
802,-0.55,11.8,0.159
802,-0.45,1.8,0.174
802,-0.35,2.0,0.182
802,-0.25,6.2,0.206
802,-0.15,2.3,0.287
802,-0.05,3.5,0.219
802,0.05,2.1,0.142
803,-0.95,7.5,0.188
803,-0.85,4.0,0.169
803,-0.75,2.5,0.238
803,-0.65,10.3,0.202
803,-0.55,11.6,0.175
803,-0.45,5.6,0.174
803,-0.35,7.5,0.153
803,-0.25,10.6,0.2
803,-0.15,7.4,0.175
803,-0.05,11.1,0.167
803,0.05,2.1,0.142
804,-0.95,11.1,0.206
804,-0.85,13.0,0.104
804,-0.75,9.6,0.237
804,-0.65,11.1,0.242
804,-0.55,2.7,0.214
804,-0.45,11.5,0.154
804,-0.35,1.9,0.169
804,-0.25,1.9,0.198
804,-0.15,2.0,0.218
804,-0.05,2.6,0.202
804,0.05,7.2,0.16
805,-0.95,11.6,0.23
805,-0.85,1.6,0.203
805,-0.75,9.1,0.194
805,-0.65,1.7,0.16
805,-0.55,3.9,0.235
805,-0.45,7.6,0.13
805,-0.35,6.7,0.183
805,-0.25,10.1,0.155
805,-0.15,6.9,0.231
805,-0.05,3.3,0.19
805,0.05,3.2,0.129
806,-0.95,10.3,0.177
806,-0.85,3.2,0.22
806,-0.75,3.2,0.189
806,-0.65,6.8,0.175
806,-0.55,4.6,0.171
806,-0.45,2.4,0.195
806,-0.35,2.5,0.186
806,-0.25,1.9,0.201
806,-0.15,4.5,0.112
806,-0.05,7.6,0.128
806,0.05,8.4,0.145
807,-0.95,11.2,0.215
807,-0.85,1.6,0.139
807,-0.75,1.7,0.156
807,-0.65,4.1,0.199
807,-0.55,3.8,0.197
807,-0.45,2.8,0.265
807,-0.35,8.3,0.207
807,-0.25,1.5,0.144
807,-0.15,10.3,0.147
807,-0.05,2.1,0.1
807,0.05,2.0,0.141
808,-0.95,1.7,0.111
808,-0.85,4.0,0.145
808,-0.75,2.9,0.209
808,-0.65,7.2,0.122
808,-0.55,9.8,0.158
808,-0.45,8.1,0.213
808,-0.35,1.9,0.147
808,-0.25,6.0,0.152
808,-0.15,11.4,0.168
808,-0.05,2.0,0.15
808,0.05,5.0,0.171
809,-0.95,11.9,0.167
809,-0.85,4.7,0.167
809,-0.75,10.6,0.208
809,-0.65,8.5,0.138
809,-0.55,3.6,0.135
809,-0.45,1.8,0.164
809,-0.35,1.9,0.175
809,-0.25,7.4,0.13
809,-0.15,5.0,0.214
809,-0.05,11.3,0.186
809,0.05,3.2,0.159
810,-0.95,9.6,0.185
810,-0.85,4.8,0.117
810,-0.75,8.2,0.102
810,-0.65,1.5,0.102
810,-0.55,7.8,0.128
810,-0.45,10.8,0.112
810,-0.35,4.9,0.186
810,-0.25,1.9,0.205
810,-0.15,7.1,0.188
810,-0.05,2.3,0.222
810,0.05,6.8,0.18
811,-0.95,9.0,0.238
811,-0.85,2.9,0.252
811,-0.75,3.0,0.197
811,-0.65,10.5,0.119
811,-0.55,1.9,0.169
